epoch,FroSSL,BYOL,SimCLR,DCL,MoCo,NNCLR,BarlowTwins,SimSiam
156,84.6000,84.4900,80.9400,82.2700,82.3900,80.0500,81.0900,80.1300
157,84.8400,85.1000,81.7100,82.2900,82.4100,80.5900,81.2100,80.2900
158,85.1000,84.8300,81.7800,82.3500,82.4000,80.4000,81.4900,79.9500
159,85.1100,84.9000,82.4700,82.6000,82.9000,80.3600,81.5200,80.6900
160,84.9700,85.0900,82.0500,82.2600,83.2700,80.6200,81.3600,80.4000
161,85.6100,84.9900,81.9900,82.8300,83.2800,81.2800,81.7300,80.3000
162,85.4500,85.1800,82.3200,82.4800,83.0200,81.1500,82.0400,80.4000
163,85.4900,85.4900,82.2000,82.4200,83.4300,80.5200,82.1300,80.4800
164,85.5300,85.4900,82.3400,82.4700,83.6600,80.9900,81.8000,80.6400
165,85.7300,85.4800,82.6100,82.3000,83.8200,81.3700,82.1600,80.7000
166,85.7300,85.1600,82.8900,83.4600,83.7400,81.6400,82.2400,80.7900
167,85.6500,85.3300,82.8400,83.1300,83.4100,81.5900,82.2700,81.1000
168,85.8300,85.4400,82.7700,83.3800,83.5600,81.5600,82.6800,80.8400
169,85.8600,85.1400,83.1200,83.2200,83.7200,81.9400,82.4600,80.5500
170,86.0900,85.4400,83.1900,83.1000,83.5600,82.0100,82.6400,80.8900
171,85.8200,85.6600,83.2100,83.4200,83.6800,82.0700,82.2900,80.7900
172,86.1800,85.5500,83.0400,83.9500,84.3800,82.2300,82.7400,80.9800
173,85.7900,85.6400,83.3800,83.6000,83.8200,82.5500,82.4400,80.9900
174,85.9000,85.6900,83.3500,84.0000,84.3300,82.3500,82.5800,80.9700
175,86.1200,85.9700,83.3500,83.9500,83.6900,82.8100,82.6600,80.9600
176,86.4400,85.8000,84.0600,84.2200,84.1500,82.4800,82.6400,81.2800
177,86.2900,85.7800,83.9300,83.8700,84.0800,82.3800,83.3200,81.4200
178,86.6200,85.7800,83.8900,84.2900,84.2800,82.4900,82.8500,81.3200
179,86.4200,86.1900,84.3700,84.4500,84.3300,82.9300,83.2100,81.5800
180,86.6700,86.2700,84.2000,84.4600,84.2400,83.0100,82.9200,81.4900
181,86.4300,86.1800,84.3400,84.3400,84.3000,82.7500,83.0200,81.6700
182,86.3900,86.0800,84.2600,84.2900,84.3000,82.9500,83.0600,81.5800
183,86.3600,86.0400,84.1800,84.4100,84.4300,82.9200,83.1800,81.7200
184,86.4000,86.3300,84.2700,84.5700,84.4600,83.3400,83.3800,81.7600
185,86.4700,86.4100,84.3100,84.4800,84.3100,83.1700,83.3600,81.8200
186,86.6800,86.4000,84.4200,84.7600,84.4400,83.3200,83.5200,81.7100
187,86.5500,86.3200,84.3300,84.7200,84.5800,83.4000,83.2500,81.7900
188,86.7900,86.2700,84.1800,84.6900,84.4900,83.2900,83.5200,81.7900
189,86.7300,86.3500,84.6000,84.9500,84.3800,83.3500,83.4100,81.9000
